epoch,train_loss,train_acc,val_acc,topo_loss,lr_quantum,lr_classical,epoch_time_s
1,0.953140443021601,0.48295454545454547,0.7222222222222222,-0.0492183000526645,0.0005,0.001,12.11286449432373
2,0.64090035720305,0.7840909090909091,0.9222222222222223,-0.04841984402049671,0.0004995066821070679,0.0009990133642141358,14.408812761306763
3,0.43171669136394153,0.8579545454545454,0.9222222222222223,-0.048717721958052025,0.0004980286753286195,0.000996057350657239,14.079406261444092
4,0.26284344358877704,0.9261363636363636,0.9333333333333333,-0.04907804253426465,0.0004955718126821722,0.0009911436253643444,15.452048540115356
5,0.14922690256075424,0.9431818181818182,0.9555555555555556,-0.048068280247124756,0.0004921457902821578,0.0009842915805643156,12.814290761947632
6,0.07788090611046011,0.9659090909090909,0.9666666666666667,-0.048661514100703324,0.00048776412907378846,0.0009755282581475769,13.911136150360107
7,0.0386657098477537,0.9829545454545454,0.9777777777777777,-0.04949497431516647,0.0004824441214720629,0.0009648882429441258,13.363587379455566
8,-0.0008259673010219227,0.9943181818181818,0.9888888888888889,-0.049467690627683296,0.00047620676311650495,0.0009524135262330099,13.059831619262695
9,0.015989367934790524,0.9829545454545454,0.9666666666666667,-0.04922520199959928,0.0004690766700109659,0.0009381533400219318,12.838564395904541
10,-0.0002642070705240423,0.9886363636363636,0.9777777777777777,-0.04870606687935916,0.00046108198137550377,0.0009221639627510075,12.605820178985596
11,-0.0010218349370089445,0.9829545454545454,0.9777777777777777,-0.04939090799201618,0.0004522542485937368,0.0009045084971874736,13.677743434906006
12,0.0023777081885121083,0.9715909090909091,0.9888888888888889,-0.049493496729569,0.00044262831069394727,0.0008852566213878945,12.561174154281616
13,-0.002746256576343016,0.9886363636363636,0.9777777777777777,-0.04974418235096065,0.0004322421568553528,0.0008644843137107056,13.40121579170227
14,-0.013650252060456709,0.9829545454545454,0.9888888888888889,-0.04873261736197905,0.00042113677648217214,0.0008422735529643443,12.79413628578186
15,-0.010322417047890749,0.9772727272727273,0.9888888888888889,-0.04905187609520825,0.0004093559974371724,0.0008187119948743448,13.683843851089478
16,-0.026222478429024868,1.0,0.9777777777777777,-0.04901567270809954,0.0003969463130731183,0.0007938926261462366,13.075279951095581
17,-0.015261869369582697,0.9772727272727273,1.0,-0.04899462109262293,0.0003839566987447491,0.0007679133974894982,12.425706148147583
18,-0.037988835776394066,0.9943181818181818,0.9777777777777777,-0.04945831711996685,0.0003704384185254288,0.0007408768370508576,13.617510080337524
19,-0.035722006958993996,1.0,0.9888888888888889,-0.04793029109185392,0.0003564448228912681,0.0007128896457825362,12.71544599533081
20,-0.037927836518396034,0.9943181818181818,0.9888888888888889,-0.04891134493730285,0.00034203113817116946,0.0006840622763423389,13.368582010269165
21,-0.03848941302434965,0.9943181818181818,0.9888888888888889,-0.04918148978189989,0.00032725424859373676,0.0006545084971874735,13.087787389755249
22,-0.04329864579168233,1.0,0.9888888888888889,-0.04896785589781674,0.00031217247179121356,0.0006243449435824271,13.507057666778564
23,-0.042316395112059334,1.0,0.9888888888888889,-0.04972695728594607,0.0002968453286464311,0.0005936906572928622,12.513166189193726
24,-0.04153037206693129,0.9943181818181818,0.9888888888888889,-0.04990276287902485,0.000281333308391076,0.000562666616782152,12.881114959716797
25,-0.0435498407618566,1.0,0.9888888888888889,-0.04967531968246807,0.0002656976298823283,0.0005313952597646566,13.014687776565552
26,-0.046481327577070755,1.0,1.0,-0.05000000074505806,0.0002499999999999999,0.0004999999999999998,12.853500843048096
27,-0.041843107816847885,0.9943181818181818,0.9888888888888889,-0.04954202066768299,0.00023430237011767157,0.00046860474023534314,13.68152141571045
28,-0.045463763854720375,1.0,0.9888888888888889,-0.04978473416783593,0.00021866669160892387,0.00043733338321784774,12.660473108291626
29,-0.0421344366940585,0.9943181818181818,1.0,-0.05000000074505806,0.00020315467135356878,0.00040630934270713756,13.581561088562012
30,-0.0395925065333193,0.9943181818181818,1.0,-0.0488556291569363,0.00018782752820878623,0.00037565505641757246,12.33237600326538
31,-0.04447981173341924,1.0,0.9888888888888889,-0.04871271245858886,0.00017274575140626317,0.00034549150281252633,13.377482652664185
32,-0.04016743126240643,0.9943181818181818,0.9888888888888889,-0.049905911765315315,0.00015796886182883053,0.00031593772365766105,12.716726779937744
33,-0.04502794756130739,0.9943181818181818,0.9888888888888889,-0.04967807571996342,0.00014355517710873178,0.00028711035421746355,12.490015506744385
34,-0.04669340428980914,1.0,0.9888888888888889,-0.049842642112211746,0.0001295615814745711,0.0002591231629491422,13.349698305130005
35,-0.04484922946854071,1.0,0.9888888888888889,-0.04837664318355647,0.00011604330125525073,0.00023208660251050145,12.518351793289185
36,-0.04687190326777371,1.0,0.9888888888888889,-0.04962701248851689,0.00010305368692688169,0.00020610737385376337,13.732691287994385
37,-0.04658930376172066,1.0,0.9888888888888889,-0.04967110604047775,9.064400256282751e-05,0.00018128800512565502,12.734345436096191
38,-0.047858460382981735,1.0,0.9888888888888889,-0.049778721210631455,7.886322351782778e-05,0.00015772644703565555,13.66593050956726
