epoch,train_loss,train_acc,val_acc,topo_loss,lr_quantum,lr_classical,epoch_time_s
1,2.2061239022475023,0.18269230769230768,0.2345132743362832,-0.04696219887297887,0.0005,0.001,31.64561176300049
2,1.8519792648462148,0.3076923076923077,0.3407079646017699,-0.04685002020918406,0.0004995066821070679,0.0009990133642141358,31.515825510025024
3,1.5172657095468962,0.3701923076923077,0.37610619469026546,-0.048369319249804206,0.0004980286753286195,0.000996057350657239,31.836045265197754
4,1.2537121589367206,0.4326923076923077,0.4557522123893805,-0.04815501948961845,0.0004955718126821722,0.0009911436253643444,31.986509799957275
5,1.138164107616131,0.44711538461538464,0.4424778761061947,-0.048378534185198635,0.0004921457902821578,0.0009842915805643156,32.80960297584534
6,0.9910723567008972,0.47836538461538464,0.42920353982300885,-0.04849529753510769,0.00048776412907378846,0.0009755282581475769,31.91503620147705
7,0.934435248374939,0.4951923076923077,0.5,-0.04755519459453913,0.0004824441214720629,0.0009648882429441258,30.925142288208008
8,0.8128273475628632,0.5745192307692307,0.5442477876106194,-0.04690728379556766,0.00047620676311650495,0.0009524135262330099,35.25397968292236
9,0.8114781597485909,0.5793269230769231,0.5973451327433629,-0.047290851863530964,0.0004690766700109659,0.0009381533400219318,31.50513768196106
10,0.6845355687233118,0.5721153846153846,0.6061946902654868,-0.04673449100496677,0.00046108198137550377,0.0009221639627510075,32.08488607406616
11,0.6017345980956004,0.6298076923076923,0.6504424778761062,-0.04713934172804539,0.0004522542485937368,0.0009045084971874736,31.517905235290527
12,0.6049428501954446,0.6201923076923077,0.6283185840707964,-0.047731926951270834,0.00044262831069394727,0.0008852566213878945,31.603898763656616
13,0.515317997107139,0.6610576923076923,0.6902654867256637,-0.04775388023028007,0.0004322421568553528,0.0008644843137107056,31.058634281158447
14,0.4612746485150777,0.6923076923076923,0.6769911504424779,-0.04797201274106136,0.00042113677648217214,0.0008422735529643443,31.00147533416748
15,0.4524670982590088,0.6995192307692307,0.6902654867256637,-0.04811862755853396,0.0004093559974371724,0.0008187119948743448,32.97743272781372
16,0.4361024688069637,0.7091346153846154,0.7300884955752213,-0.048146496598537154,0.0003969463130731183,0.0007938926261462366,31.34609580039978
17,0.37481259268063766,0.7524038461538461,0.7389380530973452,-0.04842678930323858,0.0003839566987447491,0.0007679133974894982,32.00383257865906
18,0.3372816231388312,0.7764423076923077,0.7787610619469026,-0.0481253183231904,0.0003704384185254288,0.0007408768370508576,33.1284601688385
19,0.31862728813519847,0.7644230769230769,0.831858407079646,-0.048127007885621145,0.0003564448228912681,0.0007128896457825362,31.764944791793823
20,0.28718820156959385,0.7788461538461539,0.7389380530973452,-0.04784959554672241,0.00034203113817116946,0.0006840622763423389,32.13517379760742
21,0.2767226312022943,0.7956730769230769,0.8053097345132744,-0.04662592293551335,0.00032725424859373676,0.0006545084971874735,32.60993695259094
22,0.22783920168876648,0.8293269230769231,0.8008849557522124,-0.048386140225025326,0.00031217247179121356,0.0006243449435824271,32.67509341239929
23,0.2564910946843716,0.7884615384615384,0.8097345132743363,-0.04884492620252646,0.0002968453286464311,0.0005936906572928622,31.58694815635681
24,0.22408924624323845,0.8125,0.8141592920353983,-0.04827362786118801,0.000281333308391076,0.000562666616782152,31.608946800231934
25,0.22805453636325324,0.8197115384615384,0.7876106194690266,-0.047731087471430116,0.0002656976298823283,0.0005313952597646566,31.883477210998535
26,0.21069835771161777,0.8245192307692307,0.827433628318584,-0.04682733304798603,0.0002499999999999999,0.0004999999999999998,31.8719379901886
27,0.1686954740434885,0.8605769230769231,0.8362831858407079,-0.048023770491664224,0.00023430237011767157,0.00046860474023534314,30.864388704299927
28,0.18944122599294552,0.8485576923076923,0.8362831858407079,-0.046944368057526074,0.00021866669160892387,0.00043733338321784774,32.29310941696167
29,0.14786423714115068,0.8677884615384616,0.8097345132743363,-0.04695852029208954,0.00020315467135356878,0.00040630934270713756,32.67481446266174
30,0.15426836162805557,0.8581730769230769,0.8185840707964602,-0.04843559431341978,0.00018782752820878623,0.00037565505641757246,32.59721636772156
31,0.12317741819872306,0.8918269230769231,0.8539823008849557,-0.04726843263667364,0.00017274575140626317,0.00034549150281252633,32.297574281692505
32,0.11204817446951683,0.9278846153846154,0.8362831858407079,-0.04852913062159832,0.00015796886182883053,0.00031593772365766105,32.283774614334106
